Percentile Area,Assessed Per Square Foot,Extrapolated Per Square Foot
0,0.1733598114699363,56.56125630999127
1,0.1733598114699363,96.2043018570324
2,0.1733598114699363,117.80675331370384
3,0.1733598114699363,132.99111299002922
4,0.1733598114699363,143.35178260427523
5,0.1733598114699363,148.90735243731604
6,0.1733598114699363,161.45097369862273
7,0.1733598114699363,168.92273572743883
8,0.1733598114699363,176.81373405911305
9,0.1733598114699363,181.94809594930675
10,1.927990443198206,187.06121669422663
11,1.927990443198206,192.69646965276772
12,9.439531289738959,197.8102808940817
13,9.439531289738959,202.96012775345048
14,9.439531289738959,208.19734705367617
15,9.439531289738959,211.7696730739382
16,17.047259208733678,216.25257754254895
17,26.265180435379158,220.94748827643468
18,35.508948882644184,225.08132755918393
19,40.79057496800799,229.61765470053024
20,41.477056939179924,233.09865703983124
21,45.77056569203756,237.48666227193755
22,49.538314415720784,242.21785773274806
23,54.4435337979926,246.18109741942183
24,60.25904480914623,250.3855815077114
25,64.13490302668097,255.02205529342726
26,66.39892200172714,258.2936813418103
27,69.38198514865151,262.7934096177971
28,71.14812184586135,266.5688924204747
29,73.5455266349473,270.09605802013084
30,75.94098517170391,272.5587647616065
31,77.72298674255056,277.5591434375926
32,79.46762694905361,281.72915292175
33,80.97844209190993,286.10340385257746
34,82.58512767931254,289.6198617037149
35,84.04976265385575,292.89899854741356
36,85.5794289287203,296.8538958728742
37,86.83396995854007,296.8538958728742
38,88.55399640529245,296.8538958728742
39,89.98475775721285,296.8538958728742
40,91.73412623686103,299.564744836902
41,93.27386529452423,303.37086115805465
42,94.60451548989151,307.4319941536778
43,96.2111287701566,312.7466635216365
44,97.44927299336344,317.097353147869
45,98.9823160857787,320.508852486612
46,100.08133684978267,320.508852486612
47,101.73383004355482,320.508852486612
48,103.11085972057802,320.508852486612
49,104.74688026688443,320.508852486612
50,106.25931298120544,320.508852486612
51,107.95981225331579,320.508852486612
52,108.89320581047721,320.508852486612
53,110.73849856671535,320.508852486612
54,111.56330343780664,320.508852486612
55,113.1892081230691,325.1220131496611
56,115.22202131389977,330.79326856731035
57,117.71830721656649,336.71019510421394
58,120.35707032802084,341.61789618696247
59,122.37977057831343,347.97079152865115
60,124.76870663293245,356.02015752157905
61,127.62502984553785,362.47564719648244
62,129.73919243065382,372.8745659493187
63,131.97409543308385,378.0029448252246
64,135.69774374439757,378.0029448252246
65,137.811353597553,383.8760205018829
66,141.0117932753788,394.66596508130647
67,144.396823921406,401.7683786723641
68,147.4383791988713,410.9555935053985
69,151.9360614734485,418.5930051679083
70,156.30794311873825,428.6070216944398
71,160.53600988088985,441.0072934792686
72,166.45456969898572,453.0554322982361
73,172.2371403800672,463.18449011621277
74,176.5351727219363,476.2430674733549
75,183.67658034860966,484.15852441575436
76,189.41606144521657,496.1957210573314
77,195.77235215372127,505.4897082674466
78,202.6246470176432,514.408495722341
79,210.3435663022117,529.9301630852041
80,215.6451707334765,542.8329342428464
81,222.78809065145725,558.9394741482679
82,230.4632626334091,569.1507064550134
83,239.3056776747726,584.9060571232901
84,248.76944698079254,599.9200572088088
85,259.24659963897403,613.4634266179792
86,269.5717898961754,635.8359570714649
87,280.71069849794947,656.1616623258609
88,289.4065389931749,682.5214938467266
89,303.8804679504081,702.9481043687724
90,321.75661960656885,734.1745773138555
91,337.9671371617538,764.0950874436
92,357.59635270359877,801.0008455654622
93,390.38132649097565,840.9070502450927
94,428.26445168049685,929.4647886312546
95,479.14233455535884,994.035071511508
96,541.1337171440962,1098.1568929905839
97,647.7998137802607,1208.503287894123
98,791.6645696544439,1488.415843193554
99,1328.0121051185972,2224.522784243696
100,20294.148517965248,9490.518389186902
